Locality,Locality_details,YYYY,MM,DD,DNA_extract,lat,lon,H6_str,HUC_8,HUC_10,HU_10_NAME,HU_8_Name,img_url,geometry
NA,NA,2015,NA,NA,NA,39.95841323,-121.1585937,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1585937, 39.95841323)"
NA,NA,2015,NA,NA,NA,39.95831436,-121.1586081,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1586081, 39.95831436)"
NA,NA,2015,NA,NA,NA,39.95828652,-121.1591239,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1591239, 39.95828652)"
NA,NA,2015,NA,NA,NA,39.97660891,-121.0888873,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.0888873, 39.97660891)"
NA,NA,2015,NA,NA,NA,39.95817269,-121.158764,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.158764, 39.95817269)"
NA,NA,2015,NA,NA,NA,39.958262,-121.1587148,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1587148, 39.958262)"
NA,NA,2015,NA,NA,NA,39.95847682,-121.1586271,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1586271, 39.95847682)"
NA,NA,2015,NA,NA,NA,39.94072927,-121.141711,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.141711, 39.94072927)"
NA,NA,2015,NA,NA,NA,39.94163559,-121.1426111,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.1426111, 39.94163559)"
NA,NA,2015,NA,NA,NA,39.95860178,-121.1585535,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1585535, 39.95860178)"
NA,NA,2015,NA,NA,NA,39.95837777,-121.1586298,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1586298, 39.95837777)"
NA,NA,2015,NA,NA,NA,39.94120091,-121.1424707,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.1424707, 39.94120091)"
NA,NA,2015,NA,NA,NA,39.95414445,-121.1535926,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.1535926, 39.95414445)"
NA,NA,2015,NA,NA,NA,39.95937005,-121.157011,180201,18020122,1802012209,NA,East Branch North Fork Feather,NA,"c(-121.157011, 39.95937005)"
